,pre_analytics,modern
cv_r2_mean,0.534272952551483,0.6484522470147243
cv_r2_std,0.10960453319630178,0.1516367513636626
cv_rmse_mean,0.04278686226987705,0.03664460367036078
cv_rmse_std,0.002180640044502341,0.008498343618939766
