feature,importance
VORP,0.1778743525919615
PER,0.09371768164338026
BPM,0.08286005730568251
net_rating,0.07003386965388818
WS/48,0.06699942741858363
pts,0.05417882165159469
usg_pct,0.043062550727276536
TOV,0.03952907889773656
ast,0.01617058424847238
BLK,0.011273914880170237
ts_pct,0.011159960998627054
reb,0.010852802948713828
eFG%,0.009631892247631358
FTr,0.00903080268869187
dreb_pct,0.00813893841869309
STL,0.006370029147592049
oreb_pct,0.006111678881255452
